,title,image_id,medium_display,style_title,artwork_type,category_title,artist_title
611,The Check Cloth Bodice,2aa61577-ef67-819b-a7c8-9ca12db09811,Lithograph in black on ivory wove paper,Cubism,Print,,Pablo Picasso
612,The Wounded Picador,b92dab28-7ab0-6999-b104-2330b9a8c82e,Aquatint and sugar lift etching on copper in black on ivory wove paper,Cubism,Print,,Pablo Picasso
613,The Hen,7a0c23d8-6d9d-f7bf-e765-ee530ce63946,"Aquatint, with scraping and drypoint on white wove paper",Cubism,Print,,Pablo Picasso
614,Daniel-Henry Kahnweiler,aebda29e-16b8-4393-6edc-805cdb6ba459,Oil on canvas,Cubism,Painting,,Pablo Picasso
615,Young Girl Washing Herself,6518e557-a148-b048-b1f4-1e408c401bb8,Pen and brown ink on tan wove paper laid down on cream card,Cubism,Drawing and Watercolor,,Pablo Picasso
616,The Nude Model,a9b02544-6fc7-dde1-340d-3dd6208e87fe,Drypoint on ivory wove paper,Cubism,Print,,Pablo Picasso
617,The Banderilleros,64dff001-0cd2-87e9-0126-09661a084c83,Linoleum engraving on ivory wove paper,Cubism,Print,,Pablo Picasso
618,Figure,fa0f6c0b-0365-d14b-a269-e156810782a2,"Wood, metal, plastic, nails, screws, paint, twine, paper, and concrete",,Sculpture,,Pablo Picasso
619,Abstraction: Background with Blue Cloudy Sky,080c3376-0a60-6d09-f23b-449742a1efeb,Oil on panel,Surrealism,Painting,,Pablo Picasso
620,Mother and Child,64734461-887d-80b9-8489-e38cb05ac01d,Oil on canvas,classicism,Painting,,Pablo Picasso
621,Man with a Pipe,43bc66e2-95b2-fb3c-b9b1-232835bfd027,Oil on canvas,Cubism,Painting,,Pablo Picasso
622,Forest Landscape with Wild Animals,402f995e-6de7-a925-3023-8ba31f359fc2,"Pen and brown ink on buff laid paper, laid down on card",,Drawing and Watercolor,,"Pieter Bruegel, the elder"
623,Woman in Profile,9b0d921f-1410-9614-8a99-d6826478d5e0,"Pen and brown ink and watercolor, with blotting, on cream laid paper",Cubism,Drawing and Watercolor,,Pablo Picasso
624,"Faun Uncovering a Sleeping Woman (Jupiter and Antiope, after Rembrandt), from the Suite Vollard",fd3e0ce9-e86f-6b54-8d1d-77c15b593dc4,Aquatint and sugar lift etching with scraping and engraving on copper in black on ivory laid paper,Cubism,Print,,Pablo Picasso
625,"Marie-Thérèse, Sculptor, and Sculpture Representing a Greek Athlete, from the Suite Vollard",4c72578f-abe8-8529-62f1-3ea4018e9ee0,Etching on copper in black on off-white laid paper,Cubism,Print,,Pablo Picasso
626,"Marie-Thérèse Kneeling, Contemplating a Sculpted Group, from the Suite Vollard",3f50065c-f6e6-09e2-7bd8-516266b7e8e4,Etching on copper in black on off-white laid paper,Cubism,Print,,Pablo Picasso
627,"Sculptor Working on a Motif with Marie-Thérèse Posing, from the Suite Vollard",3b59f448-ef72-2211-4512-1d160122fa8b,Etching on copper in black on off-white laid paper,Cubism,Print,,Pablo Picasso
628,"Young Greek Sculptor with His Sculpture: A Man and an Ephebe, from the Suite Vollard",9d456169-99f4-ef46-dae8-24b5f71beeb1,Etching on copper in black on off-white laid paper,Cubism,Print,,Pablo Picasso
629,"Model and Sculptor with His Sculpture, from Suite Vollard",b5908889-a236-a48c-8fa1-a70f11bef95b,Etching on copper in black on off-white laid paper,Cubism,Print,,Pablo Picasso
630,"Sculptor, Reclining Model, and Self-Portrait as Sculpture of Hercules, from the Suite Vollard",91bdd881-4cb1-76a1-03dc-fa9fd8540415,Etching on copper in black on off-white laid paper,Cubism,Print,,Pablo Picasso
631,Toros-Vallauris,2c45ea3c-762c-fc94-7829-29e663d1d7df,Color linocut on ivory wove paper,Cubism,Print,,Pablo Picasso
632,Two Nude Figures: Woman with a Guitare and Boy with a Cup,2663c576-7d41-c368-2323-b7041e1248d3,Drypoint on copper plate on ivory laid paper,Cubism,Print,,Pablo Picasso
633,"Sculptures Representing Marie-Thérese and the Head of a Sculptor, with a Vase of Three Flowers, from the Suite Vollard",a33beba9-1586-3ccd-f30b-bafb5a20e937,Etching on copper in black on off-white laid paper,Cubism,Print,,Pablo Picasso
634,"Head of a Woman in Profile, from The Saltimbanques",9afc1661-e456-ee79-4a68-4431611e8eb9,Drypoint on ivory wove paper,Cubism,Print,,Pablo Picasso
635,Madame Ghika,76ca11d3-3423-fd1b-e33b-3160029145c6,Graphite on cream wove paper,Cubism,Drawing and Watercolor,,Pablo Picasso
636,"At the Circus, from The Saltimbanques",3f19fbeb-4829-a487-c7de-30153aebdf13,Drypoint on cream wove paper,Cubism,Print,,Pablo Picasso
637,Two Nude Figures: Woman with a Guitar and Boy with a Cup,0a526c9c-80f9-1b34-97dc-bfa41f9128fa,Drypoint with plate tone on copper in black on ivory laid paper (discolored to cream),Cubism,Print,,Pablo Picasso
638,Two Nude Figures: Woman with a Guitar and Boy with a Cup,a1018d71-19ec-fb16-1cec-e40595ac7cbd,Drypoint with plate tone on copper in black on ivory laid paper (discolored to cream),Cubism,Print,,Pablo Picasso
639,Two Nude Figures: Woman with a Guitar and Boy with a Cup,0c2e779a-e85c-6bc5-b451-56d9261b1586,"Drypoint on copper in black with black crayon and scraping and burnishing on ivory wove paper, laid down on ivory wove paper (discolored to cream)",Cubism,Print,,Pablo Picasso
640,Two Nude Figures: Woman with a Guitar and Boy with a Cup,1a497eb3-0da5-d651-de7f-66cdb5a7b7bd,Drypoint with plate tone on copper in black on off-white wove paper,Cubism,Print,,Pablo Picasso
641,Two Nude Figures: Woman with a Guitar and Boy with a Cup,bcc9ddba-592e-4201-0789-fecc41311903,Drypoint with plate tone on copper in black on off-white wove paper,Cubism,Print,,Pablo Picasso
642,Two Nude Figures: Woman with a Guitar and Boy with a Cup,a9579b38-ce7b-ade5-6d1c-c2a2b79eec41,Drypoint with plate tone on copper in black on off-white laid paper,Cubism,Print,,Pablo Picasso
643,Reclining Woman,44f0632a-3c6e-ebf4-2687-491d42069365,Lithograph in black on cream wove paper,Cubism,Print,,Pablo Picasso
644,Sketches of a Young Woman and a Man,7d137707-44e5-29f2-324a-f72b31c1cdc5,"Pen and brush and black ink on tan wove paper (discolored to light brown), laid down on thin ivory Japanese paper",Cubism,Drawing and Watercolor,,Pablo Picasso
645,David and Bathsheba,21218411-85c5-4226-0272-93961646cea0,Lithograph in black on ivory wove paper,Cubism,Print,,Pablo Picasso
646,"Portrait of Vollard II, from the Suite Vollard",386011bf-2a82-af36-2abd-3afd7e23a2ce,"Sugar-lift, with aquatint and spit-bite etching on copper in black on ivory laid paper",Cubism,Print,,Pablo Picasso
647,The Man with a Dog (Rue Schoelcher),2ae2e64e-8bfd-297f-156d-1768839220c8,Etching with scraping on copper in black on ivory wove paper,Cubism,Print,,Pablo Picasso
648,Bust of a Woman,0b2c4947-bf5b-a77b-9d7c-b5fb9fa7b570,Aquatint on ivory wove paper,Cubism,Print,,Pablo Picasso
649,Portrait of Sylvette David,872371ff-d773-f209-8062-7f88c95f2691,Oil on canvas,Cubism,Painting,,Pablo Picasso
650,The Great Bullfight with Female Bullfighter,60335004-8d8a-7e31-786a-5a245204edd1,Etching on copper in black on ivory laid paper,Cubism,Print,,Pablo Picasso
651,Female Bullfighter. Last Kiss?,98275dd3-21a1-d1d6-2448-2fad329065b3,Etching on copper in black on ivory laid paper,Cubism,Print,,Pablo Picasso
652,Dancers,a2ab1dc1-2eb5-e46d-3ee9-69af92ff7baf,Lithograph on ivory wove paper,Cubism,Print,,Pablo Picasso
653,Dove in Flight,25f3c6f4-7852-d2ca-c435-b4780ab62e33,Lithograph on ivory wove paper,Cubism,Print,,Pablo Picasso
654,Venus and Cupid,057e5bf2-de79-f564-eae4-e29c742db1c6,Lithograph on off-white wove paper,Cubism,Print,,Pablo Picasso
655,Modern Style Bust,787661c5-83b1-3b78-85e7-419118442859,Lithograph in black on ivory wove paper,Cubism,Print,,Pablo Picasso
656,The Lobster,c2c877fc-55dd-2982-9a9e-edf7899fff25,Lithograph on ivory wove paper,Cubism,Print,,Pablo Picasso
657,"Woman in Armchair, No. 1",5830a3ca-36b1-f83a-3d3d-736b72521a53,Lithograph on ivory wove paper,Cubism,Print,,Pablo Picasso
658,The Studio,c69464f7-49e4-d703-fe8e-e089c078e942,Lithograph on ivory wove paper,Cubism,Print,,Pablo Picasso
659,Smiling Faun,13604707-c01d-9057-363c-586386931f2f,Lithograph in black on ivory wove paper,Cubism,Print,,Pablo Picasso
660,Centaur and Bacchante with Faun,98f24eef-943d-8fad-e0d7-f799bcecf4ec,Lithograph on ivory wove paper,Cubism,Print,,Pablo Picasso
661,The Egyptian,a1b59ad9-d16d-0ccd-7ec7-bc3373405dc0,Sugar-lift etching and aquatint on ivory wove paper,Cubism,Print,,Pablo Picasso
662,The Picador,b000bf0f-e124-f215-a761-249cceea096a,Aquatint and sugar lift etching on copper in black on ivory wove paper,Cubism,Print,,Pablo Picasso
663,Woman Washing Her Feet,311dc856-5716-e962-a30d-e0f4162801e5,"Graphite, with rubbing, erasing, and scraping, over incised lines, on cream wove paper, pieced",Cubism,Drawing and Watercolor,,Pablo Picasso
664,Young Girl Inspired by Cranach,3e832770-323d-e2f7-7d10-0eb207a54948,Lithograph in black on ivory wove paper,Cubism,Print,,Pablo Picasso
665,Composition with Vase of Flowers,1c156fed-4f6e-5e8a-3860-a92a690a6d16,Color lithograph on ivory wove paper,Cubism,Print,,Pablo Picasso
666,Françoise,e11d6930-43a7-0718-a41a-6e421c9e1993,Lithograph in black on ivory wove paper,Cubism,Print,,Pablo Picasso
667,Shells and Birds,f140048c-56b7-dec6-5ad0-f67356554c31,Lithograph on ivory wove paper,Cubism,Print,,Pablo Picasso
668,Bullfight,cb126364-7fbc-e9a8-4dc6-70f6b154fd2a,Lithograph on ivory wove paper,Cubism,Print,,Pablo Picasso
669,Head of Rams,ecf65953-46c9-0e31-d07e-b2d7720e83d5,Lithograph on ivory wove paper,Cubism,Print,,Pablo Picasso
670,The Bull,2356f3e9-99b1-31be-74c7-2f91ba8ea768,Lithograph in black on ivory wove paper,Cubism,Print,,Pablo Picasso
671,Two Nude Women,c854cd70-5712-91b1-4143-16ddfc90e560,Lithograph on ivory wove paper,Cubism,Print,,Pablo Picasso
672,Young Girl with Full Hair,3008d90f-b6d5-4b1f-5a8b-2b74449a7433,Lithograph in black on ivory wove paper,Cubism,Print,,Pablo Picasso
673,Head of Young Girl,25fa3588-054f-fd5f-b867-e62b578d8eba,Lithograph in black on ivory wove paper,Cubism,Print,,Pablo Picasso
674,Head of Young Girl,50d0de82-8b0d-f756-1656-1a24aba75bad,Lithograph in black on ivory wove paper,Cubism,Print,,Pablo Picasso
675,Stylized Woman's Head on Black Background,0a834283-2b0f-c5e8-5215-b59e63b9ba87,Transfer lithograph in black on ivory wove paper,Cubism,Print,,Pablo Picasso
676,Woman's Head on Black Background,17f02334-7de2-8e5c-421b-f8b3ea041fe3,Transfer lithograph in black on ivory wove paper,Cubism,Print,,Pablo Picasso
677,The Painter and His Model,c0fd611f-899a-bc84-dd00-a466dfc7e67e,"Lithograph on cream wove paper, laid down on ivory wove paper (chine collé)",Cubism,Print,,Pablo Picasso
678,Reading,4b25f306-ce02-a261-a119-c182c0bc3517,Lithograph on ivory wove paper,Cubism,Print,,Pablo Picasso
679,"Bullfight. Wounded Female Bullfighter III, from the Suite Vollard",f35abb94-1336-7876-47c4-9731b7665576,Drypoint and etching with engraving on copper in black on off-white laid paper,Cubism,Print,,Pablo Picasso
680,The Black Bull,57d4aa6e-d2c2-b2dc-7927-ef263e5decd0,Lithograph on ivory wove paper,Cubism,Print,,Pablo Picasso
681,The Painter and His Model,5228c94f-2eca-80ad-1fca-d921e2bfdde8,Color lithograph on ivory wove paper,Cubism,Print,,Pablo Picasso
682,The Family of Saltimbanques,a8d7f6a7-a7a4-e0e5-d8a4-300fad9e65ee,Lithograph in black on ivory wove paper,Cubism,Print,,Pablo Picasso
683,Nude from Behind,a7b84bde-6ff3-ae81-3096-8561b7815046,Charcoal on tan wove paper (discolored to brown),Cubism,Drawing and Watercolor,,Pablo Picasso
684,Young Woman with a Hat,6626544f-2c5f-d1ad-11c7-87982a58d097,"Pastel, with stumping and incising, over touches of charcoal on gray millboard, laid down on tan cardboard, fixed",Cubism,Drawing and Watercolor,,Pablo Picasso
685,"La puce, from Histoire naturelle",3fc65a4e-02da-6be7-478f-a0bb0abea71a,"Aquatint, sugar lift etching, scraping, and drypoint on ivory wove paper",Cubism,Print,,Pablo Picasso
686,Exhibition Villauris,51fe3274-c280-cf75-5da6-f5cd26ce5cdd,Linocut on cream wove paper,Cubism,Print,,Pablo Picasso
687,Seated Female Nude,3964e355-091e-3a11-0e6a-ff6737fc50a8,"Watercolor and gouache, over graphite, on tan wove paper",Cubism,Drawing and Watercolor,,Pablo Picasso
688,Still Life,8a6e5b5b-7880-1b25-4bf7-621f4dae8505,Oil on canvas,Cubism,Painting,,Pablo Picasso
689,"Head of a Woman, Madeleine, from The Saltimbanques",2a9ff6f8-d44c-eb10-6ee5-6fcbcf29bcf8,Etching on copper in black on cream wove paper,Cubism,Print,,Pablo Picasso
690,Face of Marie-Therese,034dc540-f0bc-15cf-9b88-8ea49541a692,Lithograph in black on ivory Japanese paper,Cubism,Print,,Pablo Picasso
691,"The Donkey, from Histoire naturelle",c3bd4640-0a3c-460d-ee4f-70eaf70654d2,"Aquatint, sugar lift etching, scratching, and drypoint on ivory laid paper",Cubism,Print,,Pablo Picasso
692,Figure in a Striped Blouse,0781a010-ecf5-1038-c6ac-65d8f2558b59,Color lithograph on ivory wove paper,Cubism,Print,,Pablo Picasso
693,Two Seated Nudes,bff6223c-2142-6e5c-5341-a92c32bbb446,Etching on ivory wove paper,Cubism,Print,,Pablo Picasso
694,"The Barbaric Dance (Before Salome and Herod), from The Saltimbanques",1742fb74-dede-cccd-9557-7e0d55764b9f,Drypoint on ivory wove paper,Cubism,Print,,Pablo Picasso
695,"The Saltimbanque at Rest, from The Saltimbanques",899b9a46-e72c-1a4b-6c50-bfe5fd60e62b,Drypoint on cream wove paper,Cubism,Print,,Pablo Picasso
696,"At the Circus, from The Saltimbanques",4ec985b7-5d06-0870-f2e1-3bf5f3dbeba0,Drypoint on copper in black on cream wove paper,Cubism,Print,,Pablo Picasso
697,"Bust of a Man, from The Saltimbanques",1f803da2-9f18-ae41-44cf-70bd06da7910,Drypoint on copper in black on cream wove paper,Cubism,Print,,Pablo Picasso
698,"The Poor, from The Saltimbanques",365f0313-ee84-22c8-bc02-30a4b7053792,Etching on cream wove paper,Cubism,Print,,Pablo Picasso
699,Fernande Olivier,c0e36998-e857-1d69-cc31-5ac524c76e2f,"Charcoal, with stumping, on cream laid paper",Cubism,Drawing and Watercolor,,Pablo Picasso
700,Bust of a Young Woman,2721c185-59c2-9315-299d-a72a21b61986,Woodcut in black on brown wove paper,Cubism,Print,,Pablo Picasso
701,Figure,58f4d35a-cb4c-d92a-3c16-0630c5a0c231,Oil and chalk on canvas,,Painting,,Pablo Picasso
702,Head of a Woman,86d937a7-21c7-0df1-004a-6cb53f72969c,Etching on copper in black on cream Japanese paper,Cubism,Print,,Pablo Picasso
703,Two Figures,73b24def-81cb-c775-4af7-3b6e28d8c3ea,Woodcut on cream wove paper,Cubism,Print,,Pablo Picasso
704,Woman with a Helmet of Hair,59771454-78ee-98a1-00b8-f51372f85b94,Gouache on tan wood pulp board,,Drawing and Watercolor,,Pablo Picasso
705,The Dove,d8a98796-5a87-d3f3-9b6a-5cca60320901,Lithograph in black on ivory wove paper,Cubism,Print,,Pablo Picasso
706,"The Frugal Meal, from The Saltimbanques",92e5332c-2000-eb62-a5c1-3a6d42eb78b6,Etching on zinc in black on ivory laid paper,Cubism,Print,,Pablo Picasso
707,The Glass,e0bf3630-f854-e621-cdd5-5ca13fd13d33,Oil on canvas,Cubism,Painting,,Pablo Picasso
708,Head of a Woman (Fernande),b8a75427-6434-8c35-9b2f-af6e126569d2,Bronze,,Sculpture,,Pablo Picasso
709,Head of a Woman,b1ae51a8-b4ce-7c89-fcf6-ad918569c864,Watercolor on cream wove paper (discolored to tan),Cubism,Drawing and Watercolor,,Pablo Picasso
710,Seated Woman and Sleeping Woman,3d244c64-3b5f-82a6-9e3f-2a1647b12983,Lithograph on ivory wove paper,Cubism,Print,,Pablo Picasso
711,"The Frugal Meal, from The Saltimbanques",30721427-4934-13f7-1f82-cea4a50af5ea,Etching on zinc in black on cream wove paper,Cubism,Print,,Pablo Picasso
712,"Head of a Woman in Profile, from The Saltimbanques",bda4415b-c71e-7632-4602-2821dc996d6a,Drypoint on copper in black on cream wove paper,Cubism,Print,,Pablo Picasso
713,"The Bath, from The Saltimbanques",bde82b93-4665-9556-437b-ec9b393de8f5,Drypoint on ivory wove paper,Cubism,Print,,Pablo Picasso
714,Still Life,3a36ace6-454a-87bb-38a3-6dedc89058f8,"Stencil printed in color, on ivory wove paper",Cubism,Print,,Pablo Picasso
715,"Pierreuse, Her Hand on Her Shoulder, or Waiting (Margot)",b24d4f04-4364-7f06-b161-517eb0667411,Color offset lithograph on ivory wove paper,Cubism,Print,,Pablo Picasso
716,The Dream and Lie of Franco (Plate I),ca1aa805-e750-d731-e902-3c89bddce3ec,"Aquatint and etching on copper in black on white wove paper, laid down on cream Japanese paper (chine collé)",Cubism,Print,,Pablo Picasso
717,Pierrot and Harlequin,eb239fbd-b9ee-d3ca-da5e-be2f5fc8017b,"Graphite, with touches of erasing, on cream wove paper",Cubism,Drawing and Watercolor,,Pablo Picasso
718,Portrait of Léonide Massine,ab03fb36-e3ee-c7d4-ae24-8eac2c46e4d9,Graphite on cream wove paper,Cubism,Drawing and Watercolor,,Pablo Picasso
719,Woman at the Sea Shore,687ee866-b906-6c94-8eee-8cfefc9cb4b3,Lithograph in black on cream wove paper,Cubism,Print,,Pablo Picasso
720,Mother and Child,2181f976-3145-e7ef-2ab1-56aa32fa05e0,Lithograph in black on cream wove paper,Cubism,Print,,Pablo Picasso
721,"Portrait of Paul Valery, from La Jeune Parque",92c38ee2-80c9-7556-66b3-cfc6277fd813,Lithograph on ivory laid paper,Cubism,Print,,Pablo Picasso
722,The Diver,a53afc19-8f85-0675-e75b-2ff9f283a872,Collage and soft-ground etching printed in relief on ivory wove paper,Cubism,Print,,Pablo Picasso
723,The Diver,9bf21fe8-073b-2953-792a-2eca39740eb6,Collage and softground etching on ivory wove paper,Cubism,Print,,Pablo Picasso
724,"The Saltimbanques, from The Saltimbanques",e3b016f3-77b2-3b81-836a-4c860aadaa79,Etching and drypoint on ivory wove paper,Cubism,Print,,Pablo Picasso
725,Nude with a Pitcher,aa7ac006-5b63-12aa-3ab7-705cc612aa0a,Oil on canvas,Cubism,Painting,,Pablo Picasso
726,Minotauromachia,338ba60f-9fbf-201a-8eb6-767ffe117f65,Etching with scraping and engraving on copper in black on ivory laid paper,Cubism,Print,,Pablo Picasso
727,The Studio,b5bc04ee-a482-4efa-6a48-9f9d9cb43d0e,Etching on ivory Japanese paper,Cubism,Print,,Pablo Picasso
728,Head of a Woman,a18f060c-6693-6246-0fe9-abc512841002,Oil on canvas,Cubism,Painting,,Pablo Picasso
729,"Pensive Boy Watching a Sleeping Woman by Candlelight, from the Suite Vollard",7ebd4f02-a172-d162-3ea5-5f8677244265,"Etching, aquatint and engraving with scraping and burnishing on copper in black on ivory laid paper",Cubism,Print,,Pablo Picasso
730,Figure,405ae753-7392-0cad-c124-f8a07f69d97a,Lithograph on cream wove paper,Cubism,Print,,Pablo Picasso
731,"Venus and Cupid, after Cranach",7855b021-1ce4-e73a-9e50-f2051c50a564,"Aquatint, with scraping, engraving and drypoint on copper in black on white wove paper",Cubism,Print,,Pablo Picasso
732,"Three Comedians with a Bust of Marie-Thérèse, from the Suite Vollard",ca31da50-17ca-87d8-1e5d-8297c1f974f7,Drypoint on copper in black on parchment,Cubism,Print,,Pablo Picasso
733,Faun Musician No. 5,cebb8bc1-088f-115a-d054-0897bd3ecdbc,Lithograph in black on ivory wove paper,Cubism,Print,,Pablo Picasso
734,"The Watering Hole, from The Saltimbanques",d6cc5e35-ddb4-2860-9e13-869ad48aec74,Drypoint on copper in black on cream wove paper,Cubism,Print,,Pablo Picasso
735,"Three Heads of Men, from Les Métamorphoses",32195eb8-1142-c94c-37d2-cf6094dad9e3,"Etching on copper in black on ivory, wove (imitation Japanese) paper",Cubism,Print,,Pablo Picasso
736,The Combat in the Arena,50170d96-d316-86ab-5c20-a07dd1c4bab8,"Drypoint with scraping, engraving and roulette on copper in black on off-white laid paper",Cubism,Print,,Pablo Picasso
737,Untitled,151ca624-38e8-7d2a-985a-f006c422d53a,Watercolor on paper,,Drawing and Watercolor,,Maria Helena Vieira da Silva
738,The Gardens No.2,a9e2fe96-46c6-4b1b-c60a-93cb9a315e3f,Gouache on gray wove paper with white and black fibers,,Drawing and Watercolor,,Maria Helena Vieira da Silva
739,Nef,a5947b6d-368a-c391-b170-34a03671ac83,Color lithograph on ivory wove paper,,Print,,Maria Helena Vieira da Silva
740,Garden,0cd244cf-b4c8-beb2-87b6-647648e8ccd1,Color lithograph on ivory wove paper,,Print,,Maria Helena Vieira da Silva
741,Fronton,a3ba5387-6950-6d3f-c633-9b31d9c44ece,Color lithograph on ivory wove paper,,Print,,Maria Helena Vieira da Silva
742,"Blue, White, Black",bc8eab77-f126-acb5-aa05-f6dd128b294b,Color lithograph on ivory wove paper,,Print,,Maria Helena Vieira da Silva
743,Jersey,08885222-60a6-0dd9-8e81-1ca02c9ed728,Lithograph in black and blue on Japanese paper,,Print,,Maria Helena Vieira da Silva
744,Unreal Construction,51a5ba71-25fd-4da8-127f-8c75a81f0f5b,Gouache on blue wove paper,,Drawing and Watercolor,,Maria Helena Vieira da Silva
745,Head of a Woman,3bebd534-9481-3a50-f6cf-7bab3a6934da,"Gouache, watercolor, and black and ochre chalks, manipulated with stump and wet brush, on cream laid paper",Cubism,Drawing and Watercolor,,Pablo Picasso
746,Rotterdam,3335b163-8cb5-cbec-8d8e-6d1159247c2d,Oil on canvas,,Painting,,Maria Helena Vieira da Silva
747,Composition,860c9087-86da-d738-6d6f-29959464bd92,Oil on canvas,,Painting,,Maria Helena Vieira da Silva
748,"Two Nudes, Standing",386ad4fe-83b1-c7a3-9f81-298e024ea603,"Graphite, with stumping, on cream laid paper",Cubism,Drawing and Watercolor,,Pablo Picasso
749,Paloma and Her Doll on a Black Background,6f9260c2-d8d8-97b8-ae16-e66b56abb5f5,Lithograph in black on ivory wove paper,Cubism,Print,,Pablo Picasso
750,"Thinking Sculptor, Model with Black Hair, and Bowl with Three Anemones, from the Suite Vollard",d9620a26-bdd1-03d9-15f0-2146dcc13adb,Etching on copper in black on ivory laid paper,Cubism,Print,,Pablo Picasso
751,"Three Nude Women and a Bowl of Anemones, from the Suite Vollard",62b74efe-d239-e89d-1767-88e8693659e6,Etching on copper in black on off-white laid paper,Cubism,Print,,Pablo Picasso
752,Portrait of Fernande Olivier,2e3bac41-e91e-5bbd-2fbe-b1987d08ce90,Drypoint with plate tone on copper in black on ivory laid paper,Cubism,Print,,Pablo Picasso
753,Léonide Massine,ac47be8c-fa0a-ba93-648f-3561a67cc012,Graphite on ivory laid paper (discolored to cream),Cubism,Drawing and Watercolor,,Pablo Picasso
754,Head of a Man with a Pipe,503a8166-9429-cd72-9e1a-790b395bc740,Etching on copper in black on ivory laid paper,Cubism,Print,,Pablo Picasso
755,"The Two Saltimbanques, from The Saltimbanques",d1878d0f-f487-3ff0-bd38-59059a68aea3,Drypoint on ivory wove paper,Cubism,Print,,Pablo Picasso
756,"207, from 347 Gravures",904b0f43-6abc-a0f6-99aa-22dfced79133,Sugar-lift aquatint on white wove paper,Cubism,Print,,Pablo Picasso
757,The Three Friends,733f3ec2-2434-e69e-af64-4f6af22c665f,Etching on copper in black on ivory wove paper,Cubism,Print,,Pablo Picasso
758,The Owl with White Background,e01fb5db-0205-9440-32c6-601d80937819,Lithograph on cream wove paper,Cubism,Print,,Pablo Picasso
759,Woman in an Armchair,3e4d6d1b-a435-c5d3-e3d2-7da959a6936d,"Watercolor and gouache, with graphite, on cream wove paper",Cubism,Drawing and Watercolor,,Pablo Picasso
760,"Blind Minotaur Led by Little Girl with Flowers, from the Suite Vollard",610765c6-a295-7773-7e21-c31cc5591aa6,Drypoint with scraping and engraving on copper in black on off-white laid paper,Cubism,Print,,Pablo Picasso
761,Colophon from Poèmes et Lithographies,24b00791-18fe-3b2d-ea78-0ec545672bb9,"Text print on ivory wove paper, letterpress",Cubism,Print,,Pablo Picasso
762,Page of Sketches (Heads of Children and Horses),85ebc296-bd74-413e-31e9-500921f67709,Lithograph on ivory wove paper,Cubism,Print,,Pablo Picasso
763,"Blind Minotaur Led in the Night by a Little Girl with a Pigeon, from the Suite Vollard",df26cbb2-2df7-3317-ad81-89fe22349e8f,Etching on copper in black on off-white laid paper,Cubism,Print,,Pablo Picasso
764,"Minotaure in Love with a Woman Centaur, from the Suite Vollard",0febcfff-bcad-2a5a-2f96-c816313a4aff,"Etching and drypoint on copper in black on off-white, moderately thick, moderately textured, laid paper",Cubism,Print,,Pablo Picasso
765,"Blind Minotaur Led by a Little Girl with a Pigeon, from the Suite Vollard",5322aefe-da0d-fb51-3d26-122c3ba1cf1f,Etching with engraving and scraping on copper in black on off-white laid paper,Cubism,Print,,Pablo Picasso
766,David and Bathsheba,ea948f15-a970-ce8d-d959-fe9331e6eaa4,Lithograph in black on ivory wove paper,Cubism,Print,,Pablo Picasso
767,Study for La Coiffure,7e935ba5-cc62-268a-a9f2-b82005e23d99,"Pen and brown ink, with colored crayons and charcoal applied with stump, over graphite, on blue-gray laid paper (discolored to brown)",Cubism,Drawing and Watercolor,,Pablo Picasso
768,"Marie-Thérèse as Female Bullfighter, from the Suite Vollard",3711a61e-5bc0-a8ad-6b2d-055f21a5cb5b,Etching on copper in black on off-white laid paper,Cubism,Print,,Pablo Picasso
769,"The Cavalier, from Quatre Lithographies",efcdf0c9-3443-889b-9f92-789ec3c638f8,Lithograph in black on ivory wove paper,Cubism,Print,,Pablo Picasso
770,"Fragment of ""Mother and Child""",2a269129-0a2a-75e7-4e7c-01d184a146e1,Oil on canvas,Return to Order,Painting,,Pablo Picasso
771,"Coupling I, from the Suite Vollard",60210c4e-0b05-8423-7d40-bdfd24ccb974,Drypoint with sugar lift etching and aquatint on copper in black on off-white laid paper,Cubism,Print,,Pablo Picasso
772,"Bacchic Scene with Minotaur, from the Suite Vollard",bc90cf8f-7f93-e461-ce11-a45673ad5711,Etching on copper in black on off-white laid paper,Cubism,Print,,Pablo Picasso
773,"Man Holding a Sheep, Flutist, and Heads",c36398f0-0033-74d1-5787-d033ef8cf990,"Colored crayons and colored pencils, with smudging, on cream wove paper",Cubism,Drawing and Watercolor,,Pablo Picasso
774,The Old Guitarist,ddacae05-9279-51b5-e9ab-00024ae01e27,Oil on panel,Blue period,Painting,,Pablo Picasso
775,Six Busts of Women,acd2a761-ccac-f41c-7bf5-ed5898831a8f,Graphite on ivory wove paper,Cubism,Drawing and Watercolor,,Pablo Picasso
776,Richard J. Daley Center Sculpture,abf1f14c-d79b-d607-d84f-68032bf6a58e,White chalk on plywood,Cubism,Drawing and Watercolor,,Pablo Picasso
777,"Harpy with a Head of a Bull and Four Young Girls on a Tower Surmounted with a Black Flag, from the Suite Vollard",e6fe2bed-cb9e-9285-3e51-05cb6f7319f9,Etching on copper in black on ivory laid paper,Cubism,Print,,Pablo Picasso
778,"Wounded Minotaur VI, from the Suite Vollard",df67775e-e83a-e897-741d-a43ff8e6558f,Etching on copper in black on off-white laid paper,Cubism,Print,,Pablo Picasso
779,The Minotaur,72694b53-fa43-da6c-c778-5b97f29c84f0,Pen and brush and black ink and brush and gray wash on blue wove paper,Cubism,Drawing and Watercolor,,Pablo Picasso
